key,value
1809,107,
1810,78,
1811,60,
1812,51,
1813,50,
1814,126,
1815,67,
1816,72,
1817,86,
1818,108,
1819,89,
1820,38,
1821,14,
1822,119,
1823,59,
1824,120,
1825,128,
1826,16,
1827,42,
1828,41,
1829,39,
1830,88,
1831,19,
1832,100,
1833,25,
1834,65,
1835,204,
1836,31,
1837,54,
1838,22,
1839,103,
1840,93,
1841,78,
1842,33,
1843,65,
1844,68,
1845,63,
1846,9,
1847,58,
1848,51,
1849,152,
1850,62,
1851,94,
1852,185,
1853,115,
1854,223,
1855,35,
1856,76,
1857,47,
1858,102,
1859,77,
1860,52,
1861,93,
1862,84,
1863,28,
1864,109,
1865,24,
1866,183,
1867,190,
1868,43,
1869,176,
1870,68,
1871,61,
1872,119,
1873,186,
1874,73,
1875,101,
1876,75,
1877,108,
1878,122,
1879,121,
1880,69,
1881,58,
1882,144,
1883,103,
1884,38,
1885,229,
1886,116,
1887,76,
1888,123,
1889,34,
1890,92,
1891,99,
1892,155,
1893,177,
1894,42,
1895,36,
1896,33,
1897,50,
1898,23,
1899,74,
1900,98,
1901,64,
1902,56,
1903,65,
1904,32,
1905,281,
1906,55,
1907,25,
1908,21,
1909,115,
1910,29,
1911,221,
1912,93,
1913,91,
1914,37,
1915,39,
1916,65,
1917,82,
1918,50,
1919,139,
1920,92,
1921,43,
1922,70,
1923,19,
1924,89,
1925,112,
1926,156,
1927,27,
1928,92,
1929,21,
1930,185,
1931,200,
1932,49,
1933,96,
1934,114,
1935,30,
1936,68,
1937,158,
1938,68,
1939,88,
1940,65,
1941,74,
1942,54,
1943,140,
1944,112,
1945,121,
1946,127,
1947,80,
1948,66,
1949,158,
1950,76,
1951,276,
1952,46,
1953,51,
1954,24,
1955,121,
1956,130,
1957,37,
1958,146,
1959,61,
1960,116,
1961,137,
1962,82,
1963,20,
1964,60,
1965,5,
1966,49,
1967,76,
1968,61,
1969,18,
1970,84,
1971,74,
1972,68,
1973,87,
1974,176,
1975,64,
1976,109,
1977,89,
1978,34,
1979,52,
1980,41,
1981,69,
1982,69,
1983,18,
1984,123,
1985,67,
1986,56,
1987,31,
1988,131,
1989,62,
1990,29,
1991,36,
1992,157,
1993,39,
1994,60,
1995,98,
1996,117,
1997,23,
1998,34,
1999,97,
2000,60,
2001,175,
2002,185,
2003,28,
2004,124,
2005,208,
2006,44,
2007,44,
2008,32,
2009,146,
2010,151,
2011,52,
2012,134,
2013,65,
2014,97,
2015,74,
2016,32,
2017,104,
2018,134,
2019,4,
2020,80,
2021,118,
2022,15,
2023,116,
2024,104,
2025,39,
2026,38,
2027,49,
2028,48,
2029,86,
2030,61,
2031,68,
2032,60,
2033,28,
2034,68,
2035,192,
2036,28,
2037,70,
2038,31,
2039,90,
2040,129,
2041,67,
2042,9,
2043,40,
2044,44,
2045,65,
2046,172,
2047,70,
2048,132,
2049,113,
2050,338,
2051,132,
2052,21,
2053,88,
2054,256,
2055,152,
2056,175,
2057,79,
2058,196,
2059,58,
2060,66,
2061,49,
2062,70,
2063,78,
2064,82,
2065,85,
2066,48,
2067,48,
2068,67,
2069,83,
2070,78,
2071,112,
2072,123,
2073,69,
2074,64,
2075,217,
2076,40,
2077,54,
2078,161,
2079,49,
2080,33,
2081,77,
2082,65,
2083,69,
2084,104,
2085,64,
2086,95,
2087,36,
2088,47,
2089,72,
2090,32,
2091,66,
2092,57,
2093,68,
2094,43,
2095,125,
2096,131,
2097,28,
2098,87,
2099,53,
2100,68,
2101,194,
2102,15,
2103,77,
2104,65,
2105,78,
2106,93,
2107,27,
2108,119,
2109,87,
2110,140,
2111,46,
2112,143,
2113,25,
2114,34,
2115,39,
2116,40,
2117,17,
2118,293,
2119,87,
2120,94,
2121,47,
2122,192,
2123,68,
2124,72,
2125,83,
2126,89,
2127,72,
2128,76,
2129,73,
2130,23,
2131,122,
2132,87,
2133,47,
2134,322,
2135,166,
2136,26,
2137,146,
2138,17,
2139,37,
2140,63,
2141,39,
2142,39,
2143,13,
2144,59,
2145,36,
2146,28,
2147,121,
2148,73,
2149,99,
2150,75,
2151,98,
2152,50,
2153,83,
2154,26,
2155,48,
2156,56,
2157,50,
2158,35,
2159,56,
2160,21,
2161,48,
2162,23,
2163,106,
2164,151,
2165,45,
2166,122,
2167,56,
2168,47,
2169,140,
2170,17,
2171,34,
2172,20,
2173,77,
2174,58,
2175,50,
2176,46,
2177,55,
2178,57,
2179,19,
2180,54,
2181,174,
2182,62,
2183,50,
2184,82,
2185,78,
2186,134,
2187,124,
2188,39,
2189,42,
2190,109,
2191,51,
2192,98,
2193,29,
2194,124,
2195,162,
2196,52,
2197,21,
2198,39,
2199,137,
2200,46,
2201,169,
2202,117,
2203,57,
2204,30,
2205,48,
2206,134,
2207,270,
2208,61,
2209,95,
2210,41,
2211,93,
2212,118,
2213,56,
2214,22,
2215,43,
2216,38,
2217,190,
2218,35,
2219,13,
2220,48,
2221,34,
2222,38,
2223,142,
2224,41,
2225,159,
2226,126,
2227,194,
2228,47,
2229,92,
2230,73,
2231,35,
2232,41,
2233,118,
2234,134,
2235,165,
2236,78,
2237,67,
2238,155,
2239,61,
2240,115,
2241,57,
2242,44,
2243,98,
2244,27,
2245,47,
2246,68,
2247,45,
2248,95,
2249,64,
2250,41,
2251,30,
2252,54,
2253,81,
2254,73,
2255,138,
2256,151,
2257,76,
2258,179,
2259,30,
2260,103,
2261,39,
2262,61,
2263,82,
2264,121,
2265,171,
2266,54,
2267,114,
2268,58,
2269,83,
2270,32,
2271,55,
2272,112,
2273,125,
2274,43,
2275,132,
2276,57,
2277,85,
2278,64,
2279,31,
2280,66,
2281,147,
2282,29,
2283,23,
2284,132,
2285,117,
2286,53,
2287,28,
2288,223,
2289,23,
2290,54,
2291,59,
2292,37,
2293,78,
2294,32,
2295,37,
2296,47,
2297,34,
2298,78,
2299,37,
2300,125,
2301,96,
2302,176,
2303,158,
2304,155,
2305,27,
2306,56,
2307,49,
2308,46,
2309,196,
2310,109,
2311,38,
2312,20,
2313,70,
2314,39,
2315,133,
2316,37,
2317,22,
2318,61,
2319,54,
2320,32,
2321,75,
2322,99,
2323,60,
2324,146,
2325,68,
2326,101,
2327,45,
2328,88,
2329,80,
2330,49,
2331,48,
2332,51,
2333,111,
2334,81,
2335,53,
2336,85,
2337,84,
2338,12,
2339,65,
2340,38,
2341,72,
2342,59,
2343,48,
2344,30,
2345,104,
2346,156,
2347,121,
2348,74,
2349,118,
2350,46,
2351,46,
2352,94,
2353,38,
2354,100,
2355,221,
2356,107,
2357,100,
2358,112,
2359,158,
2360,210,
2361,34,
2362,59,
2363,127,
2364,68,
2365,161,
2366,146,
2367,86,
2368,101,
2369,123,
2370,27,
2371,69,
2372,17,
2373,75,
2374,62,
2375,108,
2376,161,
2377,65,
2378,50,
2379,66,
2380,71,
2381,51,
2382,57,
2383,72,
2384,150,
2385,78,
2386,114,
2387,79,
2388,12,
2389,54,
2390,46,
2391,55,
2392,15,
2393,93,
2394,83,
2395,122,
2396,91,
2397,66,
2398,100,
2399,40,
2400,96,
2401,31,
2402,50,
2403,147,
2404,73,
2405,470,
2406,109,
2407,48,
2408,269,
2409,120,
2410,125,
2411,129,
2412,26,
2413,77,
2414,56,
2415,62,
2416,44,
2417,128,
2418,72,
2419,82,
2420,108,
2421,117,
2422,52,
2423,138,
2424,134,
2425,69,
2426,36,
2427,80,
2428,99,
2429,75,
2430,33,
2431,94,
2432,49,
2433,50,
2434,167,
2435,69,
2436,39,
2437,44,
2438,15,
2439,103,
2440,113,
2441,35,
2442,17,
2443,102,
2444,85,
2445,114,
2446,79,
2447,8,
2448,83,
2449,112,
2450,51,
2451,115,
2452,161,
2453,111,
2454,51,
2455,35,
2456,29,
2457,67,
2458,66,
2459,67,
2460,42,
2461,52,
2462,35,
2463,71,
2464,174,
2465,122,
2466,23,
2467,159,
2468,57,
2469,31,
2470,77,
2471,58,
2472,105,
2473,95,
2474,95,
2475,49,
2476,41,
2477,75,
2478,122,
2479,125,
2480,18,
2481,85,
2482,125,
2483,87,
2484,86,
2485,189,
2486,95,
2487,82,
2488,48,
2489,40,
2490,70,
2491,66,
2492,146,
2493,53,
2494,42,
2495,90,
2496,23,
